"Facilités permanentes"
"En millions de dirhams"
"Date de l'appel d'offres";"Date de valeur";"Date d'échéance";Instrument;"Montant demandé";"Montant servi";Taux
31/05/2017;31/05/2017;01/06/2017;"Avance à 24h";"4 800,00";"4 800,00";"3,25 %"
30/05/2017;30/05/2017;31/05/2017;"Avance à 24h";"4 300,00";"4 300,00";"3,25 %"
26/05/2017;26/05/2017;29/05/2017;"Avance à 24h";710,00;710,00;"3,25 %"
19/05/2017;19/05/2017;22/05/2017;"Avance à 24h";"4 000,00";"4 000,00";"3,25 %"
16/05/2017;16/05/2017;17/05/2017;"Avance à 24h";"4 000,00";"4 000,00";"3,25 %"
12/05/2017;12/05/2017;15/05/2017;"Avance à 24h";"3 000,00";"3 000,00";"2,25 %"
19/04/2017;19/04/2017;20/04/2017;"Avance à 24h";"3 540,00";"3 540,00";"3,25 %"
18/04/2017;18/04/2017;19/04/2017;"Avance à 24h";"2 680,00";"2 680,00";"3,25 %"
30/12/2016;30/12/2016;02/01/2017;"Avance à 24h";"4 000,00";"4 000,00";"3,25 %"
29/12/2016;29/12/2016;30/12/2016;"Avance à 24h";"3 500,00";"3 500,00";"3,25 %"
16/12/2016;16/12/2016;19/12/2016;"Avance à 24h";"1 500,00";"1 500,00";"3,25 %"
14/12/2016;14/12/2016;15/12/2016;"Avance à 24h";"1 000,00";"1 000,00";"3,25 %"
31/10/2016;31/10/2016;01/11/2016;"Avance à 24h";"1 470,00";"1 470,00";"3,25 %"
30/09/2016;30/09/2016;03/10/2016;"Avance à 24h";"1 510,00";"1 510,00";"3,25 %"
16/09/2016;16/09/2016;18/09/2016;"Avance à 24h";"5 800,00";"5 800,00";"3,25 %"
09/09/2016;09/09/2016;14/09/2016;"Avance à 24h";"1 400,00";"1 400,00";"3,25 %"
19/08/2016;19/08/2016;22/08/2016;"Avance à 24h";"2 100,00";"2 100,00";"3,25 %"
18/08/2016;18/08/2016;19/08/2016;"Avance à 24h";"1 000,00";"1 000,00";"3,25 %"
18/07/2016;18/07/2016;19/07/2016;"Avance à 24h";"3 300,00";"3 300,00";"3,25 %"
15/07/2016;15/07/2016;18/07/2016;"Avance à 24h";"5 410,00";"5 410,00";"3,25 %"
14/07/2016;14/07/2016;15/07/2016;"Avance à 24h";"4 000,00";"4 000,00";"3,25 %"
13/07/2016;13/07/2016;14/07/2016;"Avance à 24h";"1 300,00";"1 300,00";"3,25 %"
31/12/2015;31/12/2015;04/01/2016;"Avance à 24h";"3 000,00";"3 000,00";"3,50 %"
30/12/2015;30/12/2015;31/12/2015;"Avance à 24h";"4 500,00";"4 500,00";"3,50 %"
28/12/2015;28/12/2015;29/12/2015;"Avance à 24h";"1 500,00";"1 500,00";"3,50 %"
22/12/2015;22/12/2015;23/12/2015;"Avance à 24h";"2 300,00";"2 300,00";"3,50 %"
05/11/2015;05/11/2015;09/11/2015;"Avance à 24h";900,00;900,00;"3,50 %"
04/11/2015;04/11/2015;05/11/2015;"Avance à 24h";"2 200,00";"2 200,00";"3,50 %"
03/11/2015;03/11/2015;04/11/2015;"Avance à 24h";"2 500,00";"2 500,00";"3,50 %"
26/10/2015;26/10/2015;27/10/2015;"Avance à 24h";"1 700,00";"1 700,00";"3,50 %"
16/10/2015;16/10/2015;19/10/2015;"Avance à 24h";"2 300,00";"2 300,00";"3,50 %"
13/10/2015;13/10/2015;14/10/2015;"Avance à 24h";"1 400,00";"1 400,00";"3,50 %"
12/10/2015;12/10/2015;13/10/2015;"Avance à 24h";"1 000,00";"1 000,00";"3,50 %"
01/10/2015;01/10/2015;02/10/2015;"Avance à 24h";"2 000,00";"2 000,00";"3,50 %"
30/09/2015;30/09/2015;01/10/2015;"Avance à 24h";"2 490,00";"2 490,00";"3,50 %"
29/09/2015;29/09/2015;30/09/2015;"Avance à 24h";"1 000,00";"1 000,00";"3,50 %"
28/09/2015;28/09/2015;01/10/2015;"Avance à 24h";"2 950,00";"2 950,00";"3,50 %"
31/07/2015;30/07/2015;03/08/2015;"Avance à 24h";"1 200,00";"1 200,00";"3,50 %"
29/07/2015;29/07/2015;31/07/2015;"Avance à 24h";"1 500,00";"1 500,00";"3,50 %"
16/07/2015;16/07/2015;20/07/2015;"Avance à 24h";"1 500,00";"1 500,00";"3,50 %"
30/06/2015;30/06/2015;01/07/2015;"Avance à 24h";"1 760,00";0,00;"3,50 %"
16/01/2015;16/01/2015;19/01/2015;"Avance à 24h";"1 000,00";0,00;"3,50 %"
14/01/2015;14/01/2015;15/01/2015;"Avance à 24h";"1 000,00";"1 000,00";"3,50 %"
26/12/2014;26/12/2014;29/12/2014;"Avance à 24h";"1 400,00";"1 400,00";"3,50 %"
27/11/2014;27/11/2014;28/11/2014;"Avance à 24h";"1 400,00";"1 400,00";"3,75 %"
30/10/2014;30/10/2014;31/10/2014;"Avance à 24h";"4 010,00";"4 010,00";"3,75 %"
01/10/2014;01/10/2014;02/10/2014;"Avance à 24h";"3 230,00";"3 230,00";"3,75 %"
22/08/2014;22/08/2014;25/08/2014;"Avance à 24h";"1 200,00";"1 200,00";"4,00 %"
25/07/2014;25/07/2014;31/07/2014;"Avance à 24h";"1 460,00";"1 460,00";"4,00 %"
23/07/2014;23/07/2014;24/07/2014;"Avance à 24h";"1 200,00";"1 200,00";"4,00 %"
18/07/2014;18/07/2014;21/07/2014;"Avance à 24h";350,00;350,00;"4,00 %"
17/07/2014;17/07/2014;18/07/2014;"Avance à 24h";"2 530,00";"2 530,00";"4,00 %"
16/07/2014;16/07/2014;17/07/2014;"Avance à 24h";670,00;670,00;"4,00 %"
15/07/2014;15/07/2014;16/07/2014;"Avance à 24h";"1 000,00";"1 000,00";"4,00 %"
30/06/2014;30/06/2014;01/07/2014;"Avance à 24h";"3 500,00";"3 500,00";"4,00 %"
16/06/2014;16/06/2014;17/06/2014;"Avance à 24h";"2 000,00";"2 000,00";"4,00 %"
21/04/2014;21/04/2014;22/04/2014;"Avance à 24h";"3 210,00";"3 200,00";"4,00 %"
18/04/2014;18/04/2014;21/04/2014;"Avance à 24h";"3 190,00";"3 100,00";"4,00 %"
16/04/2014;16/04/2014;17/04/2014;"Avance à 24h";"1 520,00";"1 500,00";"4,00 %"
15/04/2014;15/04/2014;16/04/2014;"Avance à 24h";"1 000,00";"1 000,00";"4,00 %"
14/04/2014;14/04/2014;15/04/2014;"Avance à 24h";"2 710,00";"2 700,00";"4,00 %"
11/04/2014;11/04/2014;14/04/2014;"Avance à 24h";"1 060,00";"1 000,00";"4,00 %"
10/04/2014;10/04/2014;11/04/2014;"Avance à 24h";"2 490,00";"2 490,00";"4,00 %"
21/10/2013;21/10/2013;22/10/2013;"Avance à 24h";"5 510,00";"5 500,00";"4,00 %"
30/09/2013;30/09/2013;01/10/2013;"Avance à 24h";0,00;0,00;"4,00 %"
30/08/2013;30/08/2013;02/09/2013;"Avance à 24h";"2 070,00";"2 000,00";"4,00 %"
29/08/2013;29/08/2013;30/08/2013;"Avance à 24h";"2 510,00";"2 500,00";"4,00 %"
19/08/2013;19/08/2013;22/08/2013;"Avance à 24h";"4 210,00";"4 200,00";"4,00 %"
22/07/2013;22/07/2013;23/07/2013;"Avance à 24h";"2 640,00";"2 600,00";"4,00 %"
19/07/2013;19/07/2013;22/07/2013;"Avance à 24h";700,00;700,00;"4,00 %"
18/07/2013;18/07/2013;19/07/2013;"Avance à 24h";"2 110,00";"2 100,00";"4,00 %"
27/06/2013;27/06/2013;28/06/2013;"Avance à 24h";"1 610,00";"1 600,00";"4,00 %"
31/01/2013;31/01/2013;01/02/2013;"Avance à 24h";"1 820,00";"1 000,00";"4,00 %"
31/12/2012;31/12/2012;02/01/2013;"Avance à 24h";"3 880,00";800,00;"4,00 %"
05/12/2012;05/12/2012;06/12/2012;"Avance à 24h";"3 830,00";"3 830,00";"4,00 %"
30/11/2012;30/11/2012;03/12/2012;"Avance à 24h";"2 550,00";"2 550,00";"4,00 %"
29/11/2012;29/11/2012;30/11/2012;"Avance à 24h";"2 020,00";"2 020,00";"4,00 %"
15/11/2012;15/11/2012;19/11/2012;"Avance à 24h";"2 330,00";"2 330,00";"4,00 %"
14/11/2012;14/11/2012;15/11/2012;"Avance à 24h";"4 400,00";"4 400,00";"4,00 %"
13/11/2012;13/11/2012;14/11/2012;"Avance à 24h";"2 050,00";"2 050,00";"4,00 %"
12/11/2012;12/11/2012;13/11/2012;"Avance à 24h";"3 550,00";"3 550,00";"4,00 %"
09/11/2012;09/11/2012;12/11/2012;"Avance à 24h";"3 890,00";"3 890,00";"4,00 %"
08/11/2012;08/11/2012;09/11/2012;"Avance à 24h";800,00;800,00;"4,00 %"
02/11/2012;02/11/2012;05/11/2012;"Avance à 24h";"1 020,00";"1 020,00";"4,00 %"
17/10/2012;17/10/2012;18/10/2012;"Avance à 24h";"4 330,00";"4 330,00";"4,00 %"
16/10/2012;16/10/2012;17/10/2012;"Avance à 24h";"5 750,00";"5 750,00";"4,00 %"
15/10/2012;15/10/2012;16/10/2012;"Avance à 24h";"4 280,00";"4 120,00";"4,00 %"
12/10/2012;12/10/2012;15/10/2012;"Avance à 24h";"4 220,00";"4 220,00";"4,00 %"
11/10/2012;11/10/2012;12/10/2012;"Avance à 24h";"2 660,00";"2 660,00";"4,00 %"
19/09/2012;19/09/2012;20/09/2012;"Avance à 24h";"2 950,00";"1 200,00";"4,00 %"
18/09/2012;18/09/2012;19/09/2012;"Avance à 24h";"2 960,00";"2 960,00";"4,00 %"
17/09/2012;17/09/2012;18/09/2012;"Avance à 24h";530,00;530,00;"4,00 %"
07/09/2012;07/09/2012;10/09/2012;"Avance à 24h";"1 610,00";"1 610,00";"4,00 %"
06/09/2012;06/09/2012;07/09/2012;"Avance à 24h";"1 610,00";"1 610,00";"4,00 %"
29/08/2012;29/08/2012;30/08/2012;"Avance à 24h";"1 570,00";"1 570,00";"4,00 %"
28/08/2012;28/08/2012;29/08/2012;"Avance à 24h";"1 410,00";"1 410,00";"4,00 %"
27/08/2012;27/08/2012;28/08/2012;"Avance à 24h";"1 260,00";"1 260,00";"4,00 %"
17/08/2012;17/08/2012;22/08/2012;"Avance à 24h";"1 260,00";"1 260,00";"4,00 %"
16/08/2012;16/08/2012;17/08/2012;"Avance à 24h";"2 370,00";"2 370,00";"4,00 %"
15/08/2012;15/08/2012;16/08/2012;"Avance à 24h";"4 040,00";"4 040,00";"4,00 %"
13/08/2012;13/08/2012;15/08/2012;"Avance à 24h";"4 330,00";"4 330,00";"4,00 %"
10/08/2012;10/08/2012;13/08/2012;"Avance à 24h";"4 000,00";"4 000,00";"4,00 %"
09/08/2012;09/08/2012;10/08/2012;"Avance à 24h";"2 530,00";"2 530,00";"4,00 %"
27/07/2012;27/07/2012;31/07/2012;"Avance à 24h";"1 350,00";"1 350,00";"4,00 %"
17/07/2012;17/07/2012;18/07/2012;"Avance à 24h";"6 030,00";"6 030,00";"4,00 %"
26/06/2012;26/06/2012;27/06/2012;"Avance à 24h";"3 960,00";"3 960,00";"4,00 %"
25/04/2012;25/04/2012;26/04/2012;"Avance à 24h";500,00;500,00;"4,00 %"
18/04/2012;18/04/2012;19/04/2012;"Avance à 24h";"1 840,00";"1 840,00";"4,00 %"
