"Marché monétaire interbancaire"
"En millions de dirhams"
Date;"Taux Moyen Pondéré";"Volume JJ";Encours
30/03/2023;"3,000 %";2407;7867
29/03/2023;"3,000 %";5123;9513
28/03/2023;"3,000 %";4136;8406
27/03/2023;"3,000 %";4663;8933
26/03/2023;"3,000 %";-;8179
25/03/2023;"3,000 %";-;8179
24/03/2023;"3,000 %";3159;8179
23/03/2023;"3,000 %";3949;8469
22/03/2023;"3,000 %";3933;9253
21/03/2023;"2,500 %";3105;7315
20/03/2023;"2,500 %";3427;7837
19/03/2023;"2,500 %";-;8084
18/03/2023;"2,500 %";-;8084
17/03/2023;"2,500 %";3274;8084
16/03/2023;"2,500 %";4903;10203
15/03/2023;"2,500 %";4199;10569
14/03/2023;"2,500 %";2467;8677
13/03/2023;"2,500 %";2568;8816
12/03/2023;"2,500 %";-;8316
11/03/2023;"2,500 %";-;8316
10/03/2023;"2,500 %";2108;8316
09/03/2023;"2,500 %";2499;8757
08/03/2023;"2,500 %";3274;9532
07/03/2023;"2,500 %";3354;9912
06/03/2023;"2,500 %";3828;10386
05/03/2023;"2,500 %";-;8845
04/03/2023;"2,500 %";-;8845
03/03/2023;"2,500 %";2287;8845
02/03/2023;"2,500 %";2642;9480
01/03/2023;"2,500 %";3251;9139
28/02/2023;"2,500 %";2908;8646
27/02/2023;"2,500 %";4301;9341
26/02/2023;"2,500 %";-;7878
25/02/2023;"2,500 %";-;7878
24/02/2023;"2,500 %";3438;7878
23/02/2023;"2,500 %";3286;7826
22/02/2023;"2,500 %";3319;6759
21/02/2023;"2,500 %";3349;7089
20/02/2023;"2,500 %";3531;7271
19/02/2023;"2,500 %";-;7129
18/02/2023;"2,500 %";-;7129
17/02/2023;"2,500 %";3269;7129
16/02/2023;"2,500 %";3458;7318
15/02/2023;"2,503 %";3999;8239
14/02/2023;"2,500 %";3421;7961
13/02/2023;"2,500 %";4052;8352
12/02/2023;"2,500 %";-;9057
11/02/2023;"2,500 %";-;9057
10/02/2023;"2,500 %";4607;9057
09/02/2023;"2,508 %";5318;9768
08/02/2023;"2,506 %";4391;8841
07/02/2023;"2,500 %";3991;8891
06/02/2023;"2,504 %";5653;10553
05/02/2023;"2,500 %";-;9226
04/02/2023;"2,500 %";-;9226
03/02/2023;"2,500 %";4626;9226
02/02/2023;"2,500 %";5718;10318
01/02/2023;"2,509 %";5454;12744
31/01/2023;"2,504 %";6290;13980
30/01/2023;"2,500 %";7553;15263
29/01/2023;"2,500 %";-;14089
28/01/2023;"2,500 %";-;14089
27/01/2023;"2,500 %";7429;14089
26/01/2023;"2,500 %";6654;12714
25/01/2023;"2,500 %";5345;12665
24/01/2023;"2,500 %";5196;12266
23/01/2023;"2,500 %";5115;11385
22/01/2023;"2,500 %";-;11014
21/01/2023;"2,500 %";-;11014
20/01/2023;"2,500 %";4744;11014
19/01/2023;"2,500 %";5613;11883
18/01/2023;"2,500 %";5034;11254
17/01/2023;"2,500 %";5895;11365
16/01/2023;"2,500 %";5092;10562
15/01/2023;"2,500 %";-;10227
14/01/2023;"2,500 %";-;10227
13/01/2023;"2,500 %";5007;10227
12/01/2023;"2,504 %";6337;11357
11/01/2023;"2,500 %";-;9358
10/01/2023;"2,500 %";4588;9358
09/01/2023;"2,500 %";4996;9766
08/01/2023;"2,500 %";-;10142
07/01/2023;"2,500 %";-;10142
06/01/2023;"2,500 %";4622;10142
05/01/2023;"2,500 %";4079;9599
04/01/2023;"2,500 %";5690;10510
03/01/2023;"2,500 %";4847;9667
02/01/2023;"2,500 %";5981;11101
01/01/2023;"2,500 %";-;12977
31/12/2022;"2,500 %";-;12977
30/12/2022;"2,500 %";8757;12977
29/12/2022;"2,503 %";7755;12150
28/12/2022;"2,500 %";6621;11516
27/12/2022;"2,500 %";2908;7603
26/12/2022;"2,500 %";3495;8590
25/12/2022;"2,500 %";-;10522
24/12/2022;"2,500 %";-;10522
23/12/2022;"2,500 %";5427;10522
22/12/2022;"2,500 %";3077;8292
21/12/2022;"2,400 %";9210;14100
20/12/2022;"2,000 %";9578;14588
19/12/2022;"2,000 %";10938;16148
18/12/2022;"2,003 %";-;13376
17/12/2022;"2,003 %";-;13376
16/12/2022;"2,003 %";7376;13376
15/12/2022;"2,000 %";6715;12715
14/12/2022;"2,000 %";6921;14571
13/12/2022;"2,000 %";6627;14377
12/12/2022;"2,000 %";5437;13737
11/12/2022;"2,000 %";-;11485
10/12/2022;"2,000 %";-;11485
09/12/2022;"2,000 %";2985;11485
08/12/2022;"2,000 %";3152;11602
07/12/2022;"2,000 %";4937;12587
06/12/2022;"2,000 %";3561;11521
05/12/2022;"2,000 %";2710;10870
04/12/2022;"2,000 %";-;10973
03/12/2022;"2,000 %";-;10973
02/12/2022;"2,000 %";2153;10973
01/12/2022;"2,000 %";1957;10937
30/11/2022;"2,003 %";3307;12317
29/11/2022;"2,000 %";2466;11326
28/11/2022;"2,000 %";1325;10055
27/11/2022;"2,000 %";-;10429
26/11/2022;"2,000 %";-;10429
25/11/2022;"2,000 %";1709;10429
24/11/2022;"2,002 %";2131;10851
23/11/2022;"2,000 %";2149;11469
22/11/2022;"2,000 %";2601;11491
21/11/2022;"2,000 %";2400;11280
20/11/2022;"2,000 %";-;11518
19/11/2022;"2,000 %";-;11518
18/11/2022;"2,000 %";-;11518
17/11/2022;"2,000 %";2638;11518
16/11/2022;"2,000 %";2848;10738
15/11/2022;"2,000 %";2049;10029
14/11/2022;"2,000 %";1714;9844
13/11/2022;"2,000 %";-;10334
12/11/2022;"2,000 %";-;10334
11/11/2022;"2,000 %";2204;10334
10/11/2022;"2,000 %";1832;9962
09/11/2022;"2,000 %";1715;9925
08/11/2022;"2,000 %";1838;9848
07/11/2022;"2,000 %";1896;9906
06/11/2022;"2,000 %";-;9492
05/11/2022;"2,000 %";-;9492
04/11/2022;"2,000 %";1482;9492
03/11/2022;"2,000 %";2971;10971
02/11/2022;"2,003 %";4758;13658
01/11/2022;"2,004 %";3571;12581
31/10/2022;"2,001 %";2768;11998
30/10/2022;"2,000 %";-;11575
29/10/2022;"2,000 %";-;11575
28/10/2022;"2,000 %";3225;11575
27/10/2022;"2,004 %";5265;13615
26/10/2022;"2,000 %";4044;12094
25/10/2022;"2,000 %";5375;12725
24/10/2022;"2,000 %";4961;11811
23/10/2022;"2,000 %";-;11108
22/10/2022;"2,000 %";-;11108
21/10/2022;"2,000 %";4458;11108
20/10/2022;"2,000 %";4684;11354
19/10/2022;"2,000 %";5406;12746
18/10/2022;"2,000 %";4709;12049
17/10/2022;"2,000 %";7464;13204
16/10/2022;"2,010 %";-;10256
15/10/2022;"2,010 %";-;10256
14/10/2022;"2,010 %";4516;10256
13/10/2022;"2,006 %";4777;10497
12/10/2022;"2,009 %";4830;10550
11/10/2022;"2,008 %";5958;11578
10/10/2022;"2,015 %";-;10629
09/10/2022;"2,015 %";-;10629
08/10/2022;"2,015 %";-;10629
07/10/2022;"2,015 %";5009;10629
06/10/2022;"2,005 %";6345;11845
05/10/2022;"2,001 %";5158;10658
04/10/2022;"2,000 %";5168;10548
03/10/2022;"2,000 %";7060;12390
02/10/2022;"2,000 %";-;12944
01/10/2022;"2,000 %";-;12944
30/09/2022;"2,000 %";8394;12944
29/09/2022;"2,000 %";9082;15102
28/09/2022;"2,000 %";6887;13037
27/09/2022;"1,500 %";3574;9024
26/09/2022;"1,504 %";3841;9491
25/09/2022;"1,500 %";-;9701
24/09/2022;"1,500 %";-;9701
23/09/2022;"1,500 %";4101;9701
22/09/2022;"1,500 %";3476;9046
21/09/2022;"1,500 %";2876;9946
20/09/2022;"1,500 %";2692;9762
19/09/2022;"1,500 %";2864;9934
18/09/2022;"1,500 %";-;9534
17/09/2022;"1,500 %";-;9534
16/09/2022;"1,500 %";2514;9534
15/09/2022;"1,500 %";2485;8885
14/09/2022;"1,500 %";2347;9097
13/09/2022;"1,500 %";2759;9509
12/09/2022;"1,500 %";2326;8926
11/09/2022;"1,500 %";-;9498
10/09/2022;"1,500 %";-;9498
09/09/2022;"1,500 %";2898;9498
08/09/2022;"1,500 %";2223;8823
07/09/2022;"1,500 %";1994;7994
06/09/2022;"1,500 %";2264;8264
05/09/2022;"1,500 %";2468;8468
04/09/2022;"1,500 %";-;8291
03/09/2022;"1,500 %";-;8291
02/09/2022;"1,500 %";2291;8291
01/09/2022;"1,500 %";2478;8448
31/08/2022;"1,500 %";3924;9664
30/08/2022;"1,500 %";3600;9510
29/08/2022;"1,500 %";4368;10278
28/08/2022;"1,500 %";-;8332
27/08/2022;"1,500 %";-;8332
26/08/2022;"1,500 %";2422;8332
25/08/2022;"1,500 %";2277;8437
24/08/2022;"1,505 %";2977;6907
23/08/2022;"1,500 %";3062;6622
22/08/2022;"1,500 %";4254;7814
21/08/2022;"1,500 %";-;6201
20/08/2022;"1,500 %";-;6201
19/08/2022;"1,500 %";2741;6201
18/08/2022;"1,500 %";2116;5576
17/08/2022;"1,504 %";3694;7704
16/08/2022;"1,505 %";3260;7260
15/08/2022;"1,505 %";2958;6758
14/08/2022;"1,504 %";-;7470
13/08/2022;"1,504 %";-;7470
12/08/2022;"1,504 %";3970;7470
11/08/2022;"1,500 %";4512;8012
10/08/2022;"1,500 %";4029;7329
09/08/2022;"1,500 %";2757;6057
08/08/2022;"1,500 %";2439;5959
07/08/2022;"1,500 %";-;5978
06/08/2022;"1,500 %";-;5978
05/08/2022;"1,500 %";2458;5978
04/08/2022;"1,500 %";1947;5867
03/08/2022;"1,500 %";4089;8809
02/08/2022;"1,500 %";3568;8158
01/08/2022;"1,500 %";3822;7992
31/07/2022;"1,500 %";-;7774
30/07/2022;"1,500 %";-;7774
29/07/2022;"1,500 %";3124;7774
28/07/2022;"1,500 %";3841;8171
27/07/2022;"1,500 %";4085;8415
26/07/2022;"1,500 %";6563;10763
25/07/2022;"1,500 %";4694;9024
24/07/2022;"1,500 %";-;9062
23/07/2022;"1,500 %";-;9062
22/07/2022;"1,500 %";4732;9062
21/07/2022;"1,500 %";3252;7662
20/07/2022;"1,500 %";1615;6325
19/07/2022;"1,500 %";2808;7518
18/07/2022;"1,500 %";3147;7607
17/07/2022;"1,500 %";-;8234
16/07/2022;"1,500 %";-;8234
15/07/2022;"1,500 %";3924;8234
14/07/2022;"1,500 %";2636;6976
13/07/2022;"1,500 %";2713;7053
12/07/2022;"1,500 %";3312;7652
11/07/2022;"1,500 %";-;5957
10/07/2022;"1,500 %";-;5957
09/07/2022;"1,500 %";-;5957
08/07/2022;"1,500 %";1767;5957
07/07/2022;"1,500 %";2474;6654
06/07/2022;"1,500 %";1939;6369
05/07/2022;"1,500 %";1610;6040
04/07/2022;"1,500 %";1884;6264
03/07/2022;"1,500 %";-;6897
02/07/2022;"1,500 %";-;6897
01/07/2022;"1,500 %";2597;6897
30/06/2022;"1,500 %";2412;6842
29/06/2022;"1,500 %";4731;6941
28/06/2022;"1,500 %";2738;5048
