"Bande de fluctuation"
Devises;Date;Heure;"Cours minimum";"Cours maximum"
"1 Dollar u.s.a.";28/03/2025;08:30:00;9,4663;10,4627
"1 Dollar u.s.a.";28/03/2025;11:56:00;9,4689;10,4656
