"Opérations de long terme"
"En millions de dirhams
"
"Date d'opération";"Date de valeur";"Date d'échéance";Instrument;"Montant demandé";"Montant servi";Taux
19/05/2020;21/05/2020;20/05/2021;"Prêt garanti";510,00;510,00;"2,00 %"
19/05/2020;21/05/2020;18/06/2020;"Pension livrée";"18 670,00";"12 094,00";"2,00 %"
19/05/2020;21/05/2020;18/06/2020;"Prêt garanti";"27 641,00";"17 906,00";"2,00 %"
19/05/2020;21/05/2020;18/06/2020;"Swap de change";"2 820,00";"2 820,00";"0,00 %"
28/04/2020;30/04/2020;22/04/2021;"Prêt garanti";"2 110,00";680,00;"2,00 %"
21/04/2020;23/04/2020;21/05/2020;"Prêt garanti";"14 810,00";"11 331,00";"2,00 %"
21/04/2020;23/04/2020;21/05/2020;"Pension livrée";"24 400,00";"18 669,00";"2,00 %"
21/04/2020;23/04/2020;22/04/2021;"Prêt garanti";17,00;15,00;"1,25 %"
21/04/2020;23/04/2020;21/05/2020;"Swap de change";"2 800,00";"2 800,00";"0,00 %"
07/04/2020;09/04/2020;23/04/2020;"Swap de change";"1 500,00";"1 500,00";"0,00 %"
24/03/2020;26/03/2020;18/06/2020;"Pension livrée";"31 260,00";"31 260,00";"2,00 %"
24/03/2020;26/03/2020;23/04/2020;"Pension livrée";"27 360,00";"27 360,00";"2,00 %"
24/03/2020;26/03/2020;23/04/2020;"Swap de change";500,00;500,00;"0,00 %"
17/03/2020;19/03/2020;23/04/2020;"Swap de change";"4 080,00";"4 080,00";"0,00 %"
18/02/2020;20/02/2020;19/03/2020;"Swap de change";"3 260,00";"3 260,00";"0,00 %"
21/01/2020;23/01/2020;20/02/2020;"Swap de change";"3 760,00";"3 760,00";"0,00 %"
30/12/2019;02/01/2020;31/12/2020;"Prêt garanti";900,00;900,00;"2,25 %"
17/12/2019;19/12/2019;23/01/2020;"Swap de change";"4 240,00";"4 240,00";"0,00 %"
19/11/2019;21/11/2019;19/12/2019;"Swap de change";"3 900,00";"3 900,00";"0,00 %"
22/10/2019;24/10/2019;21/11/2019;"Swap de change";"4 620,00";"4 620,00";"0,00 %"
24/09/2019;26/09/2019;24/10/2019;"Swap de change";"4 530,00";"4 530,00";"0,00 %"
01/07/2019;04/07/2019;02/07/2020;"Prêt garanti";"1 100,00";"1 100,00";"2,25 %"
08/04/2019;11/04/2019;09/04/2020;"Prêt garanti";300,00;300,00;"2,25 %"
31/12/2018;03/01/2019;02/01/2020;"Prêt garanti";900,00;900,00;"2,25 %"
03/07/2018;05/07/2018;04/07/2019;"Prêt garanti";"1 500,00";"1 500,00";"2,25 %"
10/04/2018;12/04/2018;11/04/2019;"Prêt garanti";100,00;100,00;"2,25 %"
03/01/2018;04/01/2018;03/01/2019;"Prêt garanti";700,00;700,00;"2,25 %"
03/10/2017;05/10/2017;04/10/2018;"Prêt garanti";500,00;500,00;"2,25 %"
04/07/2017;06/07/2017;05/07/2018;"Prêt garanti";"1 700,00";"1 700,00";"2,25 %"
10/04/2017;13/04/2017;12/04/2018;"Prêt garanti";"4 700,00";"1 400,00";"2,25 %"
03/01/2017;05/01/2017;04/01/2018;"Prêt garanti";"2 500,00";900,00;"2,25 %"
04/10/2016;06/10/2016;05/10/2017;"Prêt garanti";"2 600,00";"1 800,00";"2,25 %"
04/07/2016;11/07/2016;06/07/2017;"Prêt garanti";"1 660,00";400,00;"2,25 %"
13/04/2016;14/04/2016;13/04/2017;"Prêt garanti";"3 660,00";"1 400,00";"2,25 %"
05/01/2016;07/01/2016;05/01/2017;"Prêt garanti";500,00;500,00;"2,50 %"
06/10/2015;08/10/2015;06/10/2016;"Prêt garanti";"2 750,00";"1 780,00";"2,50 %"
07/07/2015;09/07/2015;11/07/2016;"Prêt garanti";"3 500,00";"2 200,00";"2,50 %"
15/04/2015;16/04/2015;14/04/2016;"Prêt garanti";"12 880,00";"3 200,00";"2,50 %"
06/01/2015;08/01/2015;07/01/2016;"Prêt garanti";"10 940,00";"5 000,00";"2,50 %"
03/10/2014;09/10/2014;09/10/2014;"Pension livrée";"6 660,00";"5 000,00";"2,55 %"
03/10/2014;09/10/2014;08/10/2015;"Prêt garanti";"6 660,00";"5 000,00";"2,75 %"
26/08/2014;28/08/2014;20/11/2014;"Pension livrée";"51 140,00";"3 000,00";"3,00 %"
09/07/2014;10/07/2014;09/07/2015;"Prêt garanti";"3 000,00";"2 800,00";"3,00 %"
08/07/2014;10/07/2014;10/07/2014;"Pension livrée";"3 000,00";"2 800,00";"2,66 %"
20/05/2014;22/05/2014;28/08/2014;"Pension livrée";"56 290,00";"6 000,00";"3,00 %"
08/04/2014;10/04/2014;10/04/2014;"Pension livrée";"8 290,00";"3 200,00";"2,78 %"
08/04/2014;10/04/2014;16/04/2015;"Prêt garanti";"8 290,00";"3 200,00";"3,00 %"
18/02/2014;20/02/2014;22/05/2014;"Pension livrée";"55 560,00";"10 000,00";"3,00 %"
07/01/2014;09/01/2014;09/01/2014;"Pension livrée";"14 690,00";"7 850,00";"3,00 %"
07/01/2014;09/01/2014;08/01/2015;"Prêt garanti";"14 540,00";"7 850,00";"3,00 %"
07/01/2014;09/01/2014;10/04/2014;"Prêt garanti";150,00;150,00;"3,00 %"
16/12/2013;19/12/2013;09/01/2014;"Pension livrée";"56 000,00";"4 000,00";"3,00 %"
16/12/2013;19/12/2013;09/01/2014;"Prêt garanti";"8 740,00";"6 000,00";"3,00 %"
19/11/2013;21/11/2013;20/02/2014;"Pension livrée";"53 910,00";"10 000,00";"3,00 %"
16/09/2013;19/09/2013;19/12/2013;"Pension livrée";"39 790,00";"4 000,00";"3,00 %"
16/09/2013;19/09/2013;19/12/2013;"Prêt garanti";"8 740,00";"6 000,00";"3,00 %"
19/08/2013;22/08/2013;21/11/2013;"Pension livrée";"43 530,00";"10 000,00";"3,00 %"
17/06/2013;20/06/2013;19/09/2013;"Pension livrée";"38 840,00";"4 000,00";"3,00 %"
17/06/2013;20/06/2013;19/09/2013;"Prêt garanti";"8 290,00";"6 000,00";"3,00 %"
21/05/2013;23/05/2013;22/08/2013;"Pension livrée";"34 920,00";"10 000,00";"3,00 %"
19/03/2013;21/03/2013;20/06/2013;"Prêt garanti";"9 636,00";"2 080,00";"3,00 %"
19/03/2013;22/03/2013;20/06/2013;"Prêt garanti";"9 636,00";"1 920,00";"3,00 %"
18/03/2013;21/03/2013;20/06/2013;"Pension livrée";"28 470,00";"5 000,00";"3,00 %"
19/02/2013;21/02/2013;23/05/2013;"Pension livrée";"35 600,00";"10 000,00";"3,00 %"
13/12/2012;20/12/2012;21/03/2013;"Pension livrée";"13 100,00";"5 000,00";"3,00 %"
13/12/2012;26/12/2012;21/03/2013;"Prêt garanti";"1 800,00";546,00;"3,00 %"
13/12/2012;20/12/2012;21/03/2013;"Prêt garanti";"11 410,00";"1 834,00";"3,00 %"
20/11/2012;22/11/2012;21/02/2013;"Pension livrée";"27 290,00";"10 000,00";"3,00 %"
18/09/2012;20/09/2012;20/12/2012;"Pension livrée";"22 880,00";"5 000,00";"4,00 %"
17/08/2012;23/08/2012;22/11/2012;"Pension livrée";"19 380,00";"10 000,00";"3,00 %"
19/06/2012;21/06/2012;20/09/2012;"Pension livrée";"15 070,00";"5 000,00";"3,00 %"
22/05/2012;24/05/2012;23/08/2012;"Pension livrée";"20 390,00";"10 000,00";"3,00 %"
20/03/2012;22/03/2012;21/06/2012;"Pension livrée";"8 440,00";"5 000,00";"3,25 %"
21/02/2012;23/02/2012;24/05/2012;"Pension livrée";"11 240,00";"10 000,00";"3,25 %"
03/01/2012;05/01/2012;22/03/2012;"Pension livrée";"12 240,00";"5 000,00";"3,25 %"
22/11/2011;24/11/2011;23/02/2012;"Pension livrée";"11 450,00";"10 000,00";"3,25 %"
27/09/2011;03/10/2011;05/01/2012;"Pension livrée";"5 370,00";"5 000,00";"3,25 %"
23/11/2008;24/11/2008;22/12/2008;"Swap de change";"3 520,20";"3 520,20";"0,00 %"
22/10/2008;23/10/2008;23/11/2008;"Swap de change";"4 226,00";"4 226,00";"0,00 %"
